speaker_id,keyword,utterance_id,audio_path,transcript
c536c,tala,7d85ed3ca0,data/external/incoming/openslr_54/audio/7d85ed3ca0.wav,१० तल्ला अग्लो
d514c,tala,8ab4a54a38,data/external/incoming/openslr_54/audio/8ab4a54a38.wav,१० तल्ला अग्लो
5b437,huncha,6a926c3f85,data/external/incoming/openslr_54/audio/6a926c3f85.wav,१२ चम्चा तुलसीको गेडा आधा ग्लास पानीमा बेलुका भिजाएर बिहान खाने गरेमा ठिक हुन्छ।
f0c93,huncha,b6817d95ce,data/external/incoming/openslr_54/audio/b6817d95ce.wav,१२ चम्चा तुलसीको गेडा आधा ग्लास पानीमा बेलुका भिजाएर बिहान खाने गरेमा ठिक हुन्छ।
2ddbf,huncha,26f3468c68,data/external/incoming/openslr_54/audio/26f3468c68.wav,१२ फिट अग्लो हुन्छ
15b60,huncha,9b7ef6cdd4,data/external/incoming/openslr_54/audio/9b7ef6cdd4.wav,१३ हुन्छन्
c0c00,huncha,daf8dc9d24,data/external/incoming/openslr_54/audio/daf8dc9d24.wav,१३ हुन्छन्
e3a27,huncha,7403182d83,data/external/incoming/openslr_54/audio/7403182d83.wav,१५ मिटरसम्मको हुन्छ
0cc60,huncha,b19197fb5b,data/external/incoming/openslr_54/audio/b19197fb5b.wav,१५ मिटरसम्मको हुन्छ
8fbe4,huncha,e9eb1391c3,data/external/incoming/openslr_54/audio/e9eb1391c3.wav,१८ मिटरसम्मको पनि हुन्छ
d4b2f,maathi,8d30fb50c1,data/external/incoming/openslr_54/audio/8d30fb50c1.wav,१९७०को वसन्तमा पर्यावरणमाथि
aacd5,maathi,c3aa199a62,data/external/incoming/openslr_54/audio/c3aa199a62.wav,१९७०को वसन्तमा पर्यावरणमाथि
14763,maathi,c54e7ce632,data/external/incoming/openslr_54/audio/c54e7ce632.wav,१९९२मा ग्रीष्मकालीन खेलको तयारीको क्रममा माथिल्लो भागमा दुई पङ्क्ति कुर्सीहरू थपियो।
89bd3,tala,7f574ab5b7,data/external/incoming/openslr_54/audio/7f574ab5b7.wav,१सय २० प्रतिशतले
045d0,huncha,8fb310321f,data/external/incoming/openslr_54/audio/8fb310321f.wav,२००८ हुन्छ नि
7e781,huncha,d1030d96e5,data/external/incoming/openslr_54/audio/d1030d96e5.wav,२००८ हुन्छ नि
5bc3b,maathi,109c56c3ca,data/external/incoming/openslr_54/audio/109c56c3ca.wav,२०० मि माथि छ
ee687,suru,319b69f73f,data/external/incoming/openslr_54/audio/319b69f73f.wav,२०३६ सालमा सुरु
22521,huncha,7646b24f92,data/external/incoming/openslr_54/audio/7646b24f92.wav,२०५१ साल देखि माओवादीमा सक्रिय तामाङले औपचारिक रूपमा अध्ययन नगरेको बताउनुहुन्छ।
37155,banda,203372fb4f,data/external/incoming/openslr_54/audio/203372fb4f.wav,२५ निवारक नजरबन्द
5df8e,banda,d44cdf67af,data/external/incoming/openslr_54/audio/d44cdf67af.wav,२५ निवारक नजरबन्द
9ef53,banda,db6d101c4c,data/external/incoming/openslr_54/audio/db6d101c4c.wav,२५ निवारक नजरबन्द
7fda9,huncha,32c6d7c986,data/external/incoming/openslr_54/audio/32c6d7c986.wav,२५ लाखको वृद्धि हुन्छ
319a8,suru,4eb046081a,data/external/incoming/openslr_54/audio/4eb046081a.wav,३०० देखि सुरु
3867c,suru,f9ab277caa,data/external/incoming/openslr_54/audio/f9ab277caa.wav,३०० देखि सुरु
5c4b9,maathi,046c84971a,data/external/incoming/openslr_54/audio/046c84971a.wav,३४ डिग्रीबाट माथि
09eb9,huncha,944ea951dc,data/external/incoming/openslr_54/audio/944ea951dc.wav,४०० भन्दा कम हुन्छ
fd59f,tala,5c4fe76de5,data/external/incoming/openslr_54/audio/5c4fe76de5.wav,४० रूपियाँ तलबमा
dd9b6,tala,537a44e401,data/external/incoming/openslr_54/audio/537a44e401.wav,४४ प्रतिशतले बढेर
875d4,tala,9e6be08cc1,data/external/incoming/openslr_54/audio/9e6be08cc1.wav,४४ प्रतिशतले बढेर
99866,tala,bfb1853869,data/external/incoming/openslr_54/audio/bfb1853869.wav,४४ प्रतिशतले बढेर
